,0
0,0.840203761755486
1,0.840203761755486
2,0.840203761755486
3,0.840203761755486
4,0.840203761755486
5,0.840203761755486
6,0.840203761755486
7,0.840203761755486
8,0.840203761755486
9,0.840203761755486
10,0.840203761755486
11,0.840203761755486
12,0.840203761755486
13,0.840203761755486
14,0.840203761755486
15,0.840203761755486
16,0.840203761755486
17,0.840203761755486
18,0.840203761755486
19,0.840203761755486
20,0.840203761755486
21,0.840203761755486
22,0.840203761755486
23,0.840203761755486
24,0.840203761755486
25,0.840203761755486
26,0.840203761755486
27,0.840203761755486
28,0.840203761755486
29,0.840203761755486
